Liq,SECTOR,"10-08-26
 11:08:02",Jul 28,SCRIP,TODAY,"TODAY
CHNG","SERIES
CHNG",,28 Jul,29Jul,30,31,3 Aug,4,5,6,7,10,11,12,13,14,17,18,19,20,21,24,25,SERIES,LAST 90 DAYS,CHARTS,5 YEAR,10 YEAR
,REALITY,NBCC,94,NSE:NBCC,95,-0.4,0.8,,-10.0,0.0,-0.8,,0.9,0.4,1.6,1.9,0.7,,,,,,,,,,,,,,,NBCC,,
2,OIL,IOC,141,NSE:IOC,142,-0.8,0.5,,1.6,-1.0,-1.2,,1.1,0.4,#N/A,1.3,0.7,,,,,,,,,,,,,#N/A,,IOC,,
2,IT,PERSISTENT,5438,NSE:PERSISTENT,5519,0.8,1.5,,25.7,0.4,1.2,,1.8,0.7,1.9,0.7,0.7,,,,,,,,,,,,,,,PERSISTENT,,
,GOODS,SUPREMEIND,3405,NSE:SUPREMEIND,3420,-0.7,0.4,,7.9,2.2,1.5,,3.7,3.4,1.8,1.4,0.7,,,,,,,,,,,,,,,SUPREMEIND,,
,GOODS,CROMPTON,248,NSE:CROMPTON,249,-0.3,0.5,,-9.8,6.9,4.9,,7.5,7.1,7.0,8.3,0.6,,,,,,,,,,,,,,,CROMPTON,,
1,BFSI,HDFCAMC,2536,NSE:HDFCAMC,2547,0.2,0.5,,-4.5,0.3,0.5,,1.6,0.0,0.8,0.1,0.6,,,,,,,,,,,,,,,HDFCAMC,,
2,BFSI,SBICARD,656,NSE:SBICARD,654,-0.7,-0.3,,10.2,0.8,0.3,,2.1,0.8,1.4,0.6,0.6,,,,,,,,,,,,,,,SBICARD,,
,CEMENT,DALBHARAT,1815,NSE:DALBHARAT,1835,0.6,1.1,,6.8,0.0,-0.9,,0.7,0.2,0.6,0.9,0.6,,,,,,,,,,,,,,,DALBHARAT,,
1,IT,TECHM,1630,NSE:TECHM,1657,1.3,1.7,,16.0,0.7,1.9,,1.3,0.8,0.9,0.3,0.5,,,,,,,,,,,,,,,TECHM,,
1,BFSI,ICICIBANK,1418,NSE:ICICIBANK,1425,0.3,0.5,,2.7,1.4,0.9,,2.0,1.6,1.8,2.8,0.5,,,,,,,,,,,,,,,ICICIBANK,,
