Liq,SECTOR,"10-08-26
 09:07:51",JAN,SCRIP,TODAY,"TODAY
CHNG",CHART,CHNG,2Jan,27Jan,24 Feb,30Mar,28 Apr,26 May,30 June,28Jul,29Jul,30,31,3 Aug,4,5,6,7,10,11,12,13,14,17,18,19,20,21,24,25
,METAL,JSWSTEEL,1172,NSE:JSWSTEEL,1298,-0.7,,10.8,0.5,4.2,7.2,-4.9,9.6,10.4,4.9,6.6,8.7,8.2,,9.2,10.1,13.5,11.4,10.8,,,,,,,,,,,,
3,BFSI,PAYTM,1304,NSE:PAYTM,1441,-0.1,,10.5,2.5,-13.4,-13.0,-27.1,-13.4,-13.1,-11.9,0.4,2.2,2.0,,8.2,7.7,9.8,10.8,10.5,,,,,,,,,,,,
,FMCG,PGEL,577,NSE:PGEL,631,3.5,#N/A,9.4,4.3,-10.3,6.6,-18.3,-1.9,-18.9,-7.4,1.4,6.1,6.6,,7.1,6.8,5.0,#N/A,9.4,,,,,,,,,,,,
,BFSI,CHOLAFIN,1713,NSE:CHOLAFIN,1871,-3.6,,9.2,3.8,-4.3,1.5,-21.1,-10.4,-8.5,4.9,3.0,5.0,3.7,,9.2,9.1,9.8,13.3,9.2,,,,,,,,,,,,
T,AUTO,EICHERMOT,7333,NSE:EICHERMOT,8000,0.4,,9.1,0.2,-2.6,7.9,-10.0,-3.5,0.3,-3.2,7.1,6.3,7.9,,8.7,7.8,9.0,8.2,9.1,,,,,,,,,,,,
1,BFSI,BAJFINANCE,993,NSE:BAJFINANCE,1081,-5.6,,8.9,-0.2,-8.1,3.1,-19.2,-7.3,-6.1,1.5,5.8,5.8,6.6,,15.1,15.2,16.2,16.1,8.9,,,,,,,,,,,,
T,PHARMA,BIOCON,396,NSE:BIOCON,427,-2.3,,7.9,-0.5,-8.8,-1.0,-9.0,-8.4,10.4,5.6,9.6,9.0,7.7,,8.0,7.5,7.5,10.4,7.9,,,,,,,,,,,,
,PHARMA,FORTIS,890,NSE:FORTIS,960,4.3,,7.8,2.8,-4.7,3.7,-9.9,7.4,8.7,7.6,6.4,6.7,6.5,,5.4,3.9,3.9,3.2,7.8,,,,,,,,,,,,
2,BFSI,AUBANK,1001,NSE:AUBANK,1069,-1.8,,6.8,-0.1,-4.1,0.4,-15.9,2.2,1.8,3.5,5.0,4.3,3.2,,4.8,4.2,5.0,8.2,6.8,,,,,,,,,,,,
2,IT,COFORGE,1668,NSE:COFORGE,1780,0.4,,6.7,-0.9,0.1,-26.8,-33.2,-27.6,-14.7,-11.9,1.0,2.4,4.7,,5.9,4.0,5.7,6.6,6.7,,,,,,,,,,,,
,REALTY,OBEROIRLTY,1672,NSE:OBEROIRLTY,1775,-0.1,,6.2,3.4,-13.9,-9.6,-15.5,2.6,2.1,5.7,9.4,9.9,8.6,,9.6,6.9,8.5,6.3,6.2,,,,,,,,,,,,
,BFSI,INDIANB,839,NSE:INDIANB,886,0.9,,5.6,2.6,5.0,17.8,1.1,7.2,-0.4,-2.6,-0.5,-1.5,-1.5,,0.1,0.4,1.0,4.6,5.6,,,,,,,,,,,,
1,BFSI,ICICIBANK,1351,NSE:ICICIBANK,1425,-2.2,,5.5,0.3,1.2,2.6,-10.3,-4.5,-5.2,2.2,5.0,6.5,5.9,,7.1,6.6,6.9,7.9,5.5,,,,,,,,,,,,
1,GENERAL,INDIGO,5077,NSE:INDIGO,5349,0.6,,5.4,0.5,-6.6,-4.3,-22.2,-12.1,-11.7,5.2,4.0,4.0,2.8,,6.2,4.8,6.7,5.0,5.4,,,,,,,,,,,,
,BFSI,CAMS,746,NSE:CAMS,785,-1.8,,5.2,1.4,-6.1,-4.4,-16.1,2.7,3.8,6.9,7.3,6.3,6.3,,6.8,8.5,8.8,7.2,5.2,,,,,,,,,,,,
,AUTO,TIINDIA,2635,NSE:TIINDIA,2770,0.6,,5.1,-1.2,-19.9,-2.8,-4.8,14.5,15.1,14.7,7.0,5.9,2.2,,3.8,3.9,5.2,4.9,5.1,,,,,,,,,,,,
,BFSI,YESBANK,22,NSE:YESBANK,23,0.0,,4.6,2.8,-2.4,-3.9,-20.3,-7.9,5.1,11.8,5.2,5.3,3.9,,5.2,5.4,5.6,5.0,4.6,,,,,,,,,,,,
,METAL,JINDALSTEL,1056,NSE:JINDALSTEL,1103,0.2,,4.5,2.3,2.8,16.9,5.1,19.8,16.0,0.4,-0.2,3.1,3.7,,5.4,5.6,5.6,4.1,4.5,,,,,,,,,,,,
3,FMCG,UNITDSPR,1448,NSE:UNITDSPR,1512,-0.8,,4.4,-4.9,-10.4,-1.8,-15.7,-5.2,-10.6,-6.4,4.3,3.8,5.8,,5.2,5.3,5.3,5.1,4.4,,,,,,,,,,,,
2,METAL,TATASTEEL,181,NSE:TATASTEEL,188,-0.7,,3.7,0.9,6.2,15.4,5.8,19.0,16.2,4.2,1.0,3.5,3.2,,4.3,4.9,6.1,4.7,3.7,,,,,,,,,,,,
,POWER,NTPC,332,NSE:NTPC,344,-0.3,,3.7,5.6,4.1,15.9,11.6,22.6,17.4,7.8,3.4,3.5,4.0,,4.7,3.0,4.9,3.9,3.7,,,,,,,,,,,,
2,POWER,COALINDIA,399,NSE:COALINDIA,414,-0.5,,3.6,7.0,5.4,8.1,12.8,17.1,14.2,10.2,2.9,2.7,4.6,,3.8,3.9,3.7,3.4,3.6,,,,,,,,,,,,
,BFSI,MOTILALOFS,842,NSE:MOTILALOFS,870,-0.5,,3.3,,,,-24.7,-6.9,3.4,13.1,1.4,1.7,-0.6,,3.0,3.0,4.6,2.9,3.3,,,,,,,,,,,,
2,REALITY,ASTRAL,1397,NSE:ASTRAL,1443,0.1,,3.3,4.0,0.2,18.7,14.4,10.7,12.5,-4.7,4.9,5.5,5.3,,3.8,3.1,3.1,3.2,3.3,,,,,,,,,,,,
3,FMCG,DMART,3796,NSE:DMART,3900,-0.8,,2.7,-2.0,-3.0,1.2,5.4,19.3,7.7,15.0,1.4,1.4,2.4,,5.5,5.3,4.3,3.9,2.7,,,,,,,,,,,,
R,POWER,TORNTPOWER,1317,NSE:TORNTPOWER,1352,2.0,,2.7,6.0,-0.5,17.3,-0.7,33.3,12.0,6.8,8.9,8.7,8.2,,5.9,2.0,0.6,0.9,2.7,,,,,,,,,,,,
,OIL,OIL,428,NSE:OIL,439,-1.2,,2.6,0.1,4.6,10.8,10.1,16.4,15.2,-2.3,4.5,4.6,6.9,,5.5,4.8,3.9,4.1,2.6,,,,,,,,,,,,
3,REALITY,GODREJPROP,2016,NSE:GODREJPROP,2068,-0.7,,2.6,2.6,-32.4,-11.6,-27.1,-9.4,-12.9,-7.4,6.4,6.8,5.0,,2.7,0.9,4.6,3.9,2.6,,,,,,,,,,,,
1,AUTO,TECHM,1599,NSE:TECHM,1639,0.4,,2.5,0.8,8.5,-15.4,-11.5,-11.7,-8.7,-12.1,1.9,2.7,3.9,,3.2,2.8,2.9,2.3,2.5,,,,,,,,,,,,
,POWER,POWERGRID,265,NSE:POWERGRID,272,0.3,,2.3,2.1,-4.1,14.7,11.4,20.4,10.3,7.9,7.5,6.8,7.5,,7.1,6.2,6.2,2.0,2.3,,,,,,,,,,,,
,PHARMA,ALKEM,5510,NSE:ALKEM,5634,0.6,,2.2,1.3,4.3,-0.5,-3.8,-1.8,-2.2,1.6,2.7,3.1,5.5,,3.0,2.8,2.7,1.6,2.2,,,,,,,,,,,,
5,METAL,NMDC,83,NSE:NMDC,85,-1.1,,2.2,1.3,-5.2,-3.0,-8.5,9.5,8.8,2.2,0.8,3.1,2.1,,-0.2,1.4,2.7,2.8,2.2,,,,,,,,,,,,
2,BFSI,RECLTD,359,NSE:RECLTD,366,1.4,,2.1,6.0,2.0,-1.1,-14.9,4.2,-5.8,1.2,2.7,4.4,4.6,,2.6,2.7,1.9,1.3,2.1,,,,,,,,,,,,
T,REALITY,APLAPOLLO,1927,NSE:APLAPOLLO,1967,1.1,,2.1,0.2,6.9,14.2,1.0,3.5,-2.4,-7.0,-4.1,-2.9,-1.8,,1.0,0.2,1.7,1.5,2.1,,,,,,,,,,,,
3,GENERAL,GMRAIRPORT,105,NSE:GMRAIRPORT,107,-0.1,,1.8,0.9,-12.8,-2.4,-19.5,-6.3,-8.0,7.5,3.0,2.4,-0.5,,1.0,1.1,1.8,1.1,1.8,,,,,,,,,,,,
,PHARMA,MAXHEALTH,1050,NSE:MAXHEALTH,1068,-0.4,,1.7,1.0,-7.7,2.9,-8.6,-4.4,-5.5,7.5,5.1,5.9,7.0,,3.8,1.5,2.3,1.6,1.7,,,,,,,,,,,,
